isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
0	MSTRG.8674	MSTRG.8674.2	g3109	g3109.t2	antisense	intergenic	14866	divergent	upstream
0	MSTRG.8674	MSTRG.8674.2	g3109	g3109.t1	antisense	intergenic	14866	divergent	upstream
1	MSTRG.18620	MSTRG.18620.17	g7168	g7168.t2	antisense	intergenic	2571	convergent	downstream
0	MSTRG.18620	MSTRG.18620.17	g7168	g7168.t1	antisense	intergenic	3457	convergent	downstream
1	MSTRG.36182	MSTRG.36182.1	g13214	g13214.t3	antisense	intergenic	131	convergent	downstream
0	MSTRG.36182	MSTRG.36182.1	g13214	g13214.t1	antisense	intergenic	131	convergent	downstream
0	MSTRG.36182	MSTRG.36182.1	g13214	g13214.t2	antisense	intergenic	131	convergent	downstream
1	MSTRG.31481	MSTRG.31481.1	g11670	g11670.t1	antisense	intergenic	15382	convergent	downstream
0	MSTRG.31481	MSTRG.31481.1	g11669	g11669.t1	sense	intergenic	17434	same_strand	downstream
1	MSTRG.35135	MSTRG.35135.1	g12873	g12873.t2	antisense	intergenic	16416	convergent	downstream
0	MSTRG.35135	MSTRG.35135.1	g12873	g12873.t1	antisense	intergenic	16416	convergent	downstream
1	MSTRG.35242	MSTRG.35242.1	g12939	g12939.t1	sense	intergenic	3551	same_strand	upstream
1	MSTRG.28126	MSTRG.28126.1	g10419	g10419.t2	antisense	genic	0	nested	intronic
1	MSTRG.17132	MSTRG.17132.2	g6555	g6555.t1	antisense	intergenic	2843	divergent	upstream
0	MSTRG.17132	MSTRG.17132.2	g6554	g6554.t1	sense	intergenic	9006	same_strand	downstream
1	MSTRG.11661	MSTRG.11661.13	g4098	g4098.t1	antisense	intergenic	10377	convergent	downstream
1	MSTRG.48119	MSTRG.48119.1	g17443	g17443.t1	antisense	intergenic	15827	divergent	upstream
1	MSTRG.52849	MSTRG.52849.1	g19022	g19022.t1	antisense	intergenic	5601	divergent	upstream
0	MSTRG.52849	MSTRG.52849.1	g19022	g19022.t2	antisense	intergenic	5709	divergent	upstream
0	MSTRG.52849	MSTRG.52849.1	g19023	g19023.t1	antisense	intergenic	5934	convergent	downstream
1	MSTRG.502	MSTRG.502.1	g195	g195.t2	sense	intergenic	1405	same_strand	upstream
0	MSTRG.502	MSTRG.502.1	g195	g195.t1	sense	intergenic	1405	same_strand	upstream
1	MSTRG.31293	MSTRG.31293.1	g11641	g11641.t1	sense	intergenic	41593	same_strand	upstream
0	MSTRG.31293	MSTRG.31293.1	g11642	g11642.t1	antisense	intergenic	45732	divergent	upstream
0	MSTRG.31293	MSTRG.31293.1	g11640	g11640.t1	sense	intergenic	47741	same_strand	upstream
1	MSTRG.29943	MSTRG.29943.1	g11091	g11091.t1	sense	intergenic	22493	same_strand	downstream
0	MSTRG.29943	MSTRG.29943.1	g11090	g11090.t1	sense	intergenic	25767	same_strand	downstream
1	MSTRG.63979	MSTRG.63979.22	g22907	g22907.t1	antisense	genic	0	containing	exonic
0	MSTRG.63979	MSTRG.63979.22	g22908	g22908.t1	sense	intergenic	3285	same_strand	upstream
0	MSTRG.63979	MSTRG.63979.22	g22909	g22909.t1	antisense	intergenic	5759	convergent	downstream
0	MSTRG.63979	MSTRG.63979.22	g22910	g22910.t1	antisense	intergenic	9059	convergent	downstream
0	MSTRG.63979	MSTRG.63979.22	g22910	g22910.t2	antisense	intergenic	9059	convergent	downstream
1	MSTRG.36274	MSTRG.36274.1	g13249	g13249.t1	antisense	intergenic	2065	divergent	upstream
1	MSTRG.18987	MSTRG.18987.1	g7324	g7324.t1	sense	intergenic	16990	same_strand	downstream
1	MSTRG.15413	MSTRG.15413.1	g5893	g5893.t1	antisense	intergenic	3833	divergent	upstream
1	MSTRG.19143	MSTRG.19143.1	g7366	g7366.t1	sense	intergenic	8905	same_strand	upstream
1	MSTRG.52988	MSTRG.52988.4	g19068	g19068.t1	sense	intergenic	5314	same_strand	upstream
0	MSTRG.52988	MSTRG.52988.4	g19069	g19069.t1	sense	intergenic	9120	same_strand	upstream
1	MSTRG.36995	MSTRG.36995.15	g13279	g13279.t2	antisense	genic	0	nested	exonic
0	MSTRG.36995	MSTRG.36995.15	g13279	g13279.t1	antisense	intergenic	672	convergent	downstream
1	MSTRG.36551	MSTRG.36551.2	g13339	g13339.t1	sense	intergenic	3606	same_strand	upstream
1	MSTRG.32504	MSTRG.32504.2	g11939	g11939.t1	sense	intergenic	4481	same_strand	upstream
1	MSTRG.5601	MSTRG.5601.1	g2024	g2024.t1	antisense	intergenic	78588	convergent	downstream
1	MSTRG.18010	MSTRG.18010.1	g6911	g6911.t1	antisense	intergenic	4874	divergent	upstream
1	MSTRG.65388	MSTRG.65388.1	g23497	g23497.t1	antisense	intergenic	9036	divergent	upstream
1	MSTRG.65644	MSTRG.65644.1	g23589	g23589.t1	antisense	intergenic	10379	divergent	upstream
1	MSTRG.30530	MSTRG.30530.1	g11329	g11329.t1	antisense	intergenic	1462	divergent	upstream
0	MSTRG.30530	MSTRG.30530.1	g11330	g11330.t1	sense	intergenic	2697	same_strand	upstream
1	MSTRG.16248	MSTRG.16248.1	g6203	g6203.t2	sense	genic	0	nested	intronic
0	MSTRG.16248	MSTRG.16248.1	g6204	g6204.t1	antisense	intergenic	2489	convergent	downstream
1	MSTRG.41603	MSTRG.41603.1	g15063	g15063.t1	sense	intergenic	2552	same_strand	upstream
0	MSTRG.41603	MSTRG.41603.1	g15064	g15064.t1	sense	intergenic	3923	same_strand	downstream
0	MSTRG.41603	MSTRG.41603.1	g15062	g15062.t1	sense	intergenic	3499	same_strand	upstream
1	MSTRG.38547	MSTRG.38547.2	g13992	g13992.t1	antisense	intergenic	42924	divergent	upstream
1	MSTRG.10664	MSTRG.10664.1	g3670	g3670.t2	antisense	genic	0	overlapping	exonic
0	MSTRG.10664	MSTRG.10664.1	g3671	g3671.t1	antisense	intergenic	2996	divergent	upstream
0	MSTRG.10664	MSTRG.10664.1	g3669	g3669.t1	antisense	intergenic	4225	convergent	downstream
0	MSTRG.10664	MSTRG.10664.1	g3670	g3670.t1	antisense	genic	0	overlapping	exonic
1	MSTRG.42018	MSTRG.42018.12	g15157	g15157.t1	sense	intergenic	6172	same_strand	upstream
1	MSTRG.35932	MSTRG.35932.1	g13133	g13133.t1	sense	intergenic	7807	same_strand	downstream
0	MSTRG.35932	MSTRG.35932.1	g13132	g13132.t1	antisense	intergenic	8392	divergent	upstream
0	MSTRG.35932	MSTRG.35932.1	g13131	g13131.t1	antisense	intergenic	9487	divergent	upstream
1	MSTRG.67727	MSTRG.67727.2	g24519	g24519.t1	sense	intergenic	13463	same_strand	downstream
0	MSTRG.67727	MSTRG.67727.2	g24519	g24519.t3	sense	intergenic	13463	same_strand	downstream
0	MSTRG.67727	MSTRG.67727.2	g24519	g24519.t2	sense	intergenic	13463	same_strand	downstream
1	MSTRG.16116	MSTRG.16116.1	g6165	g6165.t1	antisense	intergenic	5283	divergent	upstream
1	MSTRG.551	MSTRG.551.1	g209	g209.t1	antisense	intergenic	46246	convergent	downstream
1	MSTRG.56507	MSTRG.56507.1	g20324	g20324.t1	antisense	intergenic	1051	convergent	downstream
0	MSTRG.56507	MSTRG.56507.1	g20323	g20323.t1	sense	intergenic	3041	same_strand	downstream
0	MSTRG.56507	MSTRG.56507.1	g20327	g20327.t1	sense	intergenic	8906	same_strand	upstream
0	MSTRG.56507	MSTRG.56507.1	g20323	g20323.t2	sense	intergenic	3041	same_strand	downstream
0	MSTRG.56507	MSTRG.56507.1	g20322	g20322.t1	sense	intergenic	6587	same_strand	downstream
0	MSTRG.56507	MSTRG.56507.1	g20326	g20326.t1	antisense	intergenic	5580	convergent	downstream
0	MSTRG.56507	MSTRG.56507.1	g20325	g20325.t1	antisense	intergenic	4533	convergent	downstream
1	MSTRG.25732	MSTRG.25732.1	g9570	g9570.t1	sense	intergenic	28966	same_strand	upstream
1	MSTRG.3683	MSTRG.3683.1	g1340	g1340.t1	sense	intergenic	592	same_strand	upstream
0	MSTRG.3683	MSTRG.3683.1	g1339	g1339.t1	antisense	intergenic	4186	divergent	upstream
1	MSTRG.25330	MSTRG.25330.1	g9426	g9426.t2	antisense	genic	0	nested	intronic
0	MSTRG.25330	MSTRG.25330.1	g9426	g9426.t1	antisense	genic	0	nested	intronic
1	MSTRG.65930	MSTRG.65930.1	g23721	g23721.t1	sense	intergenic	5201	same_strand	downstream
1	MSTRG.8581	MSTRG.8581.1	g3078	g3078.t1	sense	intergenic	12080	same_strand	downstream
0	MSTRG.8581	MSTRG.8581.1	g3077	g3077.t1	sense	intergenic	16980	same_strand	upstream
1	MSTRG.10784	MSTRG.10784.1	g3711	g3711.t1	antisense	intergenic	23612	divergent	upstream
1	MSTRG.64051	MSTRG.64051.1	g22935	g22935.t1	sense	intergenic	6491	same_strand	upstream
1	MSTRG.11661	MSTRG.11661.21	g4098	g4098.t1	antisense	intergenic	10377	convergent	downstream
1	MSTRG.35800	MSTRG.35800.12	g13092	g13092.t1	sense	intergenic	10278	same_strand	downstream
0	MSTRG.35800	MSTRG.35800.12	g13093	g13093.t2	sense	intergenic	17282	same_strand	upstream
0	MSTRG.35800	MSTRG.35800.12	g13093	g13093.t1	sense	intergenic	17282	same_strand	upstream
1	MSTRG.7191	MSTRG.7191.1	g2547	g2547.t1	sense	intergenic	37839	same_strand	downstream
1	MSTRG.46301	MSTRG.46301.2	g16772	g16772.t1	sense	intergenic	11692	same_strand	upstream
0	MSTRG.46301	MSTRG.46301.2	g16770	g16770.t1	sense	intergenic	15631	same_strand	downstream
0	MSTRG.46301	MSTRG.46301.2	g16771	g16771.t1	sense	intergenic	14957	same_strand	downstream
1	MSTRG.14059	MSTRG.14059.10	g5221	g5221.t1	sense	genic	0	containing	intronic
0	MSTRG.14059	MSTRG.14059.10	g5220	g5220.t1	antisense	genic	0	containing	intronic
0	MSTRG.14059	MSTRG.14059.10	g5222	g5222.t1	antisense	intergenic	7167	divergent	upstream
0	MSTRG.14059	MSTRG.14059.10	g5221	g5221.t2	sense	genic	0	containing	intronic
1	MSTRG.28765	MSTRG.28765.7	g10674	g10674.t1	sense	intergenic	2349	same_strand	downstream
0	MSTRG.28765	MSTRG.28765.7	g10675	g10675.t2	antisense	intergenic	9426	divergent	upstream
0	MSTRG.28765	MSTRG.28765.7	g10673	g10673.t1	sense	intergenic	5579	same_strand	upstream
0	MSTRG.28765	MSTRG.28765.7	g10675	g10675.t1	antisense	intergenic	9455	divergent	upstream
1	MSTRG.49620	MSTRG.49620.1	g18056	g18056.t1	antisense	genic	0	nested	exonic
0	MSTRG.49620	MSTRG.49620.1	g18055	g18055.t1	antisense	intergenic	5315	divergent	upstream
0	MSTRG.49620	MSTRG.49620.1	g18057	g18057.t1	antisense	intergenic	5296	convergent	downstream
1	MSTRG.7277	MSTRG.7277.1	g2584	g2584.t1	antisense	genic	0	overlapping	exonic
0	MSTRG.7277	MSTRG.7277.1	g2582	g2582.t1	sense	intergenic	2366	same_strand	downstream
0	MSTRG.7277	MSTRG.7277.1	g2583	g2583.t1	antisense	genic	0	containing	intronic
0	MSTRG.7277	MSTRG.7277.1	g2584	g2584.t2	antisense	genic	0	overlapping	exonic
0	MSTRG.7277	MSTRG.7277.1	g2582	g2582.t2	sense	intergenic	2366	same_strand	downstream
1	MSTRG.14862	MSTRG.14862.1	g5657	g5657.t2	antisense	genic	0	nested	exonic
0	MSTRG.14862	MSTRG.14862.1	g5656	g5656.t1	antisense	intergenic	5030	convergent	downstream
0	MSTRG.14862	MSTRG.14862.1	g5658	g5658.t1	antisense	intergenic	3540	divergent	upstream
0	MSTRG.14862	MSTRG.14862.1	g5657	g5657.t3	antisense	genic	0	nested	exonic
0	MSTRG.14862	MSTRG.14862.1	g5657	g5657.t5	antisense	intergenic	265	convergent	downstream
0	MSTRG.14862	MSTRG.14862.1	g5657	g5657.t4	antisense	genic	0	nested	exonic
0	MSTRG.14862	MSTRG.14862.1	g5657	g5657.t1	antisense	genic	0	nested	exonic
1	MSTRG.5419	MSTRG.5419.1	g1978	g1978.t3	sense	intergenic	18053	same_strand	upstream
0	MSTRG.5419	MSTRG.5419.1	g1978	g1978.t1	sense	intergenic	18053	same_strand	upstream
1	MSTRG.58108	MSTRG.58108.1	g20793	g20793.t2	sense	intergenic	2678	same_strand	upstream
0	MSTRG.58108	MSTRG.58108.1	g20793	g20793.t1	sense	intergenic	3008	same_strand	upstream
1	MSTRG.54537	MSTRG.54537.14	g19744	g19744.t2	sense	intergenic	389	same_strand	upstream
0	MSTRG.54537	MSTRG.54537.14	g19744	g19744.t1	sense	intergenic	437	same_strand	upstream
0	MSTRG.54537	MSTRG.54537.14	g19745	g19745.t1	antisense	intergenic	5434	divergent	upstream
1	MSTRG.49422	MSTRG.49422.13	g17941	g17941.t1	sense	intergenic	17693	same_strand	upstream
1	MSTRG.50289	MSTRG.50289.1	g18248	g18248.t1	sense	genic	0	nested	intronic
0	MSTRG.50289	MSTRG.50289.1	g18249	g18249.t1	sense	intergenic	4817	same_strand	upstream
0	MSTRG.50289	MSTRG.50289.1	g18247	g18247.t1	antisense	intergenic	3994	divergent	upstream
1	MSTRG.39360	MSTRG.39360.17	g14291	g14291.t1	sense	intergenic	721	same_strand	downstream
0	MSTRG.39360	MSTRG.39360.17	g14290	g14290.t1	sense	intergenic	1439	same_strand	upstream
1	MSTRG.16173	MSTRG.16173.8	g6183	g6183.t1	sense	intergenic	6398	same_strand	upstream
1	MSTRG.16396	MSTRG.16396.1	g6248	g6248.t1	antisense	intergenic	24550	convergent	downstream
0	MSTRG.16396	MSTRG.16396.1	g6247	g6247.t2	sense	intergenic	25616	same_strand	downstream
0	MSTRG.16396	MSTRG.16396.1	g6249	g6249.t1	antisense	intergenic	25716	convergent	downstream
0	MSTRG.16396	MSTRG.16396.1	g6250	g6250.t1	sense	intergenic	28508	same_strand	upstream
0	MSTRG.16396	MSTRG.16396.1	g6247	g6247.t1	sense	intergenic	25935	same_strand	downstream
1	MSTRG.19450	MSTRG.19450.1	g7445	g7445.t1	antisense	intergenic	5148	divergent	upstream
1	MSTRG.2969	MSTRG.2969.2	g1033	g1033.t1	antisense	intergenic	1766	convergent	downstream
0	MSTRG.2969	MSTRG.2969.2	g1034	g1034.t1	antisense	intergenic	3943	convergent	downstream
0	MSTRG.2969	MSTRG.2969.2	g1034	g1034.t2	antisense	intergenic	3943	convergent	downstream
0	MSTRG.2969	MSTRG.2969.2	g1032	g1032.t1	sense	intergenic	2281	same_strand	downstream
1	MSTRG.15786	MSTRG.15786.1	g6038	g6038.t1	antisense	intergenic	7632	convergent	downstream
1	MSTRG.29970	MSTRG.29970.1	g11111	g11111.t1	antisense	genic	0	nested	exonic
1	MSTRG.33659	MSTRG.33659.1	g12411	g12411.t1	antisense	genic	0	overlapping	intronic
0	MSTRG.33659	MSTRG.33659.1	g12410	g12410.t1	sense	intergenic	7771	same_strand	upstream
0	MSTRG.33659	MSTRG.33659.1	g12409	g12409.t1	sense	intergenic	8132	same_strand	upstream
1	MSTRG.15486	MSTRG.15486.1	g5920	g5920.t1	sense	intergenic	15449	same_strand	downstream
1	MSTRG.20230	MSTRG.20230.2	g7732	g7732.t1	sense	intergenic	18688	same_strand	upstream
1	MSTRG.35738	MSTRG.35738.2	g13077	g13077.t2	antisense	genic	0	overlapping	exonic
0	MSTRG.35738	MSTRG.35738.2	g13078	g13078.t1	antisense	intergenic	4781	divergent	upstream
0	MSTRG.35738	MSTRG.35738.2	g13078	g13078.t2	antisense	intergenic	4781	divergent	upstream
0	MSTRG.35738	MSTRG.35738.2	g13077	g13077.t1	antisense	genic	0	overlapping	exonic
0	MSTRG.35738	MSTRG.35738.2	g13078	g13078.t3	antisense	intergenic	4781	divergent	upstream
1	MSTRG.62005	MSTRG.62005.1	g22200	g22200.t1	antisense	intergenic	4237	divergent	upstream
0	MSTRG.62005	MSTRG.62005.1	g22201	g22201.t1	sense	intergenic	8729	same_strand	downstream
1	MSTRG.50567	MSTRG.50567.1	g18366	g18366.t1	antisense	intergenic	3434	divergent	upstream
0	MSTRG.50567	MSTRG.50567.1	g18365	g18365.t1	antisense	intergenic	4781	divergent	upstream
0	MSTRG.50567	MSTRG.50567.1	g18365	g18365.t2	antisense	intergenic	3434	divergent	upstream
0	MSTRG.50567	MSTRG.50567.1	g18367	g18367.t1	sense	intergenic	9606	same_strand	upstream
1	MSTRG.27295	MSTRG.27295.2	g10122	g10122.t1	sense	intergenic	13430	same_strand	downstream
1	MSTRG.13780	MSTRG.13780.1	g5079	g5079.t1	sense	intergenic	1710	same_strand	upstream
0	MSTRG.13780	MSTRG.13780.1	g5078	g5078.t1	sense	intergenic	4126	same_strand	downstream
0	MSTRG.13780	MSTRG.13780.1	g5078	g5078.t2	sense	intergenic	4450	same_strand	downstream
1	MSTRG.32230	MSTRG.32230.1	g11828	g11828.t1	antisense	intergenic	17489	divergent	upstream
0	MSTRG.32230	MSTRG.32230.1	g11828	g11828.t2	antisense	intergenic	17549	divergent	upstream
1	MSTRG.28043	MSTRG.28043.1	g10394	g10394.t1	sense	intergenic	7416	same_strand	upstream
0	MSTRG.28043	MSTRG.28043.1	g10394	g10394.t2	sense	intergenic	7449	same_strand	upstream
1	MSTRG.29278	MSTRG.29278.1	g10871	g10871.t1	antisense	intergenic	1820	convergent	downstream
0	MSTRG.29278	MSTRG.29278.1	g10872	g10872.t1	antisense	intergenic	2836	convergent	downstream
1	MSTRG.17170	MSTRG.17170.2	g6576	g6576.t1	sense	genic	0	containing	intronic
0	MSTRG.17170	MSTRG.17170.2	g6577	g6577.t1	antisense	intergenic	3205	divergent	upstream
1	MSTRG.58118	MSTRG.58118.1	g20784	g20784.t2	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20789	g20789.t1	antisense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20790	g20790.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20784	g20784.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20782	g20782.t1	antisense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20786	g20786.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20783	g20783.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20781	g20781.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20780	g20780.t1	sense	intergenic	3135	same_strand	downstream
0	MSTRG.58118	MSTRG.58118.1	g20788	g20788.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20785	g20785.t1	sense	genic	0	containing	intronic
0	MSTRG.58118	MSTRG.58118.1	g20787	g20787.t1	sense	genic	0	containing	intronic
1	MSTRG.33357	MSTRG.33357.1	g12298	g12298.t1	antisense	genic	0	nested	exonic
0	MSTRG.33357	MSTRG.33357.1	g12297	g12297.t1	antisense	intergenic	5686	divergent	upstream
1	MSTRG.44650	MSTRG.44650.1	g16140	g16140.t1	sense	intergenic	12179	same_strand	downstream
1	MSTRG.38378	MSTRG.38378.3	g13943	g13943.t1	antisense	intergenic	89	divergent	upstream
1	MSTRG.46310	MSTRG.46310.2	g16771	g16771.t1	sense	intergenic	5767	same_strand	downstream
0	MSTRG.46310	MSTRG.46310.2	g16770	g16770.t1	sense	intergenic	6441	same_strand	downstream
1	MSTRG.19780	MSTRG.19780.1	g7588	g7588.t1	antisense	intergenic	8243	divergent	upstream
1	MSTRG.10643	MSTRG.10643.4	g3665	g3665.t1	sense	intergenic	11677	same_strand	upstream
0	MSTRG.10643	MSTRG.10643.4	g3664	g3664.t1	sense	intergenic	19959	same_strand	upstream
1	MSTRG.36995	MSTRG.36995.28	g13279	g13279.t1	antisense	genic	0	nested	exonic
0	MSTRG.36995	MSTRG.36995.28	g13279	g13279.t2	antisense	genic	0	nested	exonic
1	MSTRG.41362	MSTRG.41362.1	g14992	g14992.t2	antisense	genic	0	nested	exonic
0	MSTRG.41362	MSTRG.41362.1	g14992	g14992.t1	antisense	genic	0	overlapping	exonic
0	MSTRG.41362	MSTRG.41362.1	g14991	g14991.t2	sense	intergenic	665	same_strand	downstream
0	MSTRG.41362	MSTRG.41362.1	g14991	g14991.t1	sense	intergenic	665	same_strand	downstream
0	MSTRG.41362	MSTRG.41362.1	g14993	g14993.t1	sense	intergenic	1287	same_strand	upstream
1	MSTRG.25765	MSTRG.25765.1	g9588	g9588.t1	antisense	genic	0	overlapping	exonic
0	MSTRG.25765	MSTRG.25765.1	g9589	g9589.t1	antisense	intergenic	2287	divergent	upstream
0	MSTRG.25765	MSTRG.25765.1	g9589	g9589.t2	antisense	intergenic	2287	divergent	upstream
0	MSTRG.25765	MSTRG.25765.1	g9586	g9586.t1	sense	intergenic	8779	same_strand	upstream
0	MSTRG.25765	MSTRG.25765.1	g9587	g9587.t1	antisense	intergenic	3692	convergent	downstream
1	MSTRG.16282	MSTRG.16282.1	g6223	g6223.t1	antisense	genic	0	nested	intronic
0	MSTRG.16282	MSTRG.16282.1	g6222	g6222.t1	sense	intergenic	1419	same_strand	upstream
1	MSTRG.10179	MSTRG.10179.1	g3534	g3534.t2	antisense	genic	0	overlapping	intronic
0	MSTRG.10179	MSTRG.10179.1	g3532	g3532.t1	antisense	intergenic	3841	divergent	upstream
0	MSTRG.10179	MSTRG.10179.1	g3533	g3533.t1	sense	intergenic	1262	same_strand	downstream
0	MSTRG.10179	MSTRG.10179.1	g3534	g3534.t1	antisense	genic	0	overlapping	intronic
1	MSTRG.59052	MSTRG.59052.25	g21134	g21134.t1	antisense	intergenic	13640	convergent	downstream
1	MSTRG.34432	MSTRG.34432.1	g12649	g12649.t1	antisense	genic	0	overlapping	intronic
0	MSTRG.34432	MSTRG.34432.1	g12648	g12648.t2	sense	intergenic	3635	same_strand	downstream
0	MSTRG.34432	MSTRG.34432.1	g12650	g12650.t1	antisense	intergenic	2029	convergent	downstream
0	MSTRG.34432	MSTRG.34432.1	g12648	g12648.t1	sense	intergenic	3635	same_strand	downstream
1	MSTRG.1057	MSTRG.1057.1	g386	g386.t1	antisense	intergenic	49670	divergent	upstream
1	MSTRG.49905	MSTRG.49905.1	g18128	g18128.t1	sense	intergenic	16014	same_strand	upstream
1	MSTRG.66962	MSTRG.66962.2	g24180	g24180.t1	antisense	intergenic	4194	convergent	downstream
1	MSTRG.53910	MSTRG.53910.1	g19399	g19399.t1	sense	intergenic	4034	same_strand	downstream
1	MSTRG.53687	MSTRG.53687.1	g19299	g19299.t1	antisense	intergenic	27565	divergent	upstream
1	MSTRG.4179	MSTRG.4179.2	g1538	g1538.t1	sense	intergenic	41323	same_strand	upstream
0	MSTRG.4179	MSTRG.4179.2	g1537	g1537.t2	antisense	intergenic	46519	convergent	downstream
0	MSTRG.4179	MSTRG.4179.2	g1537	g1537.t1	antisense	intergenic	46519	convergent	downstream
1	MSTRG.33628	MSTRG.33628.1	g12402	g12402.t1	antisense	genic	0	overlapping	exonic
0	MSTRG.33628	MSTRG.33628.1	g12402	g12402.t2	antisense	genic	0	overlapping	exonic
