qry_id	len
MSTRG.815.1	302
MSTRG.813.2	932
MSTRG.739.2	488
MSTRG.950.1	885
MSTRG.953.2	267
MSTRG.943.1	281
MSTRG.966.1	367
MSTRG.917.1	284
MSTRG.964.1	210
MSTRG.868.3	319
MSTRG.963.1	271
MSTRG.928.1	537
MSTRG.955.1	237
MSTRG.920.2	911
MSTRG.967.1	301
MSTRG.948.1	254
MSTRG.949.1	260
MSTRG.899.1	217
MSTRG.953.1	320
MSTRG.864.1	291
MSTRG.915.1	439
MSTRG.877.1	497
MSTRG.876.1	270
MSTRG.974.1	487
MSTRG.862.1	355
MSTRG.901.1	501
MSTRG.1055.1	243
MSTRG.1057.1	227
MSTRG.1056.1	208
MSTRG.1074.1	293
MSTRG.1054.2	332
MSTRG.1004.3	1028
MSTRG.990.1	367
MSTRG.1050.1	386
MSTRG.1051.1	675
MSTRG.1032.1	235
MSTRG.1053.2	256
MSTRG.1069.5	337
MSTRG.1069.2	656
MSTRG.1049.2	278
MSTRG.1043.2	670
MSTRG.1023.1	244
MSTRG.1007.1	461
MSTRG.1075.1	287
MSTRG.1069.4	615
MSTRG.1053.1	310
MSTRG.980.1	557
MSTRG.1052.1	233
MSTRG.1054.1	332
MSTRG.1060.1	602
MSTRG.1078.1	323
MSTRG.1049.1	378
MSTRG.1043.1	696
MSTRG.1125.1	504
MSTRG.1149.2	799
MSTRG.1187.1	1774
MSTRG.1139.1	1125
MSTRG.1133.2	577
MSTRG.1120.1	675
MSTRG.1146.2	770
MSTRG.1134.1	374
MSTRG.1135.7	441
MSTRG.1101.1	913
MSTRG.1136.2	259
MSTRG.1187.3	621
MSTRG.1135.6	334
MSTRG.1160.1	444
MSTRG.1176.6	1321
MSTRG.1149.3	734
MSTRG.1167.2	491
MSTRG.1187.2	664
MSTRG.1144.1	309
MSTRG.1126.1	476
MSTRG.1146.1	872
MSTRG.1135.2	350
MSTRG.1208.1	793
MSTRG.1214.1	316
MSTRG.1262.1	243
MSTRG.1206.1	312
MSTRG.1266.1	810
MSTRG.1314.1	393
MSTRG.1314.2	200
MSTRG.1202.1	213
MSTRG.1309.1	482
MSTRG.1245.1	256
MSTRG.1268.1	537
MSTRG.1341.1	1844
MSTRG.1349.2	410
MSTRG.1358.1	200
MSTRG.1369.3	916
MSTRG.1344.1	1126
MSTRG.1383.1	567
MSTRG.1382.1	725
MSTRG.1342.1	218
MSTRG.1357.1	1332
MSTRG.1349.1	429
MSTRG.1439.1	482
MSTRG.1484.1	420
MSTRG.1596.1	521
MSTRG.1506.1	240
MSTRG.1571.1	417
MSTRG.1575.1	624
MSTRG.1461.1	1090
MSTRG.1574.1	237
MSTRG.1428.1	263
MSTRG.1437.1	273
MSTRG.1436.1	710
MSTRG.1539.1	254
MSTRG.1614.3	381
MSTRG.1626.1	1064
MSTRG.1639.1	273
MSTRG.1614.2	380
MSTRG.1661.4	609
MSTRG.1566.1	212
MSTRG.1614.4	243
MSTRG.1753.1	619
MSTRG.1699.4	545
MSTRG.1738.1	343
MSTRG.1782.12	884
MSTRG.1797.1	249
MSTRG.1776.1	629
MSTRG.1685.1	234
MSTRG.1901.1	841
MSTRG.1946.1	332
MSTRG.1943.1	362
MSTRG.1780.6	201
MSTRG.1898.1	567
MSTRG.1843.2	512
MSTRG.1783.1	694
MSTRG.1843.1	667
MSTRG.1918.1	1057
MSTRG.1740.1	253
MSTRG.1813.1	845
MSTRG.1676.1	320
MSTRG.1844.1	253
MSTRG.1776.3	594
MSTRG.1776.2	772
MSTRG.1947.1	274
MSTRG.1730.2	855
MSTRG.1932.1	640
MSTRG.1765.1	368
MSTRG.1780.11	207
MSTRG.1705.1	422
MSTRG.1904.1	237
MSTRG.1843.3	585
MSTRG.1730.1	626
MSTRG.1704.1	444
MSTRG.1696.1	756
MSTRG.1901.3	742
MSTRG.1752.1	704
MSTRG.1782.13	540
MSTRG.1845.1	203
MSTRG.1792.1	480
MSTRG.1687.1	995
MSTRG.1678.1	266
MSTRG.1858.1	572
MSTRG.2362.1	416
MSTRG.2100.1	447
MSTRG.2010.1	735
MSTRG.2386.1	231
MSTRG.2009.2	390
MSTRG.2032.1	393
MSTRG.2019.1	519
MSTRG.2066.1	578
MSTRG.2334.2	786
MSTRG.2066.5	729
MSTRG.2053.6	493
MSTRG.2334.1	458
MSTRG.2328.2	267
MSTRG.2219.4	1005
MSTRG.2116.3	569
MSTRG.1983.1	270
MSTRG.2274.1	655
MSTRG.2397.1	1407
MSTRG.2139.2	703
MSTRG.2142.1	350
MSTRG.2279.1	227
MSTRG.2080.1	200
MSTRG.2048.1	445
MSTRG.2126.1	2005
MSTRG.2274.2	207
MSTRG.2066.3	615
MSTRG.2195.2	608
MSTRG.2239.1	388
MSTRG.2126.2	891
MSTRG.2335.2	253
MSTRG.2053.5	307
MSTRG.2124.1	380
MSTRG.2066.4	729
MSTRG.2283.1	490
MSTRG.2053.3	814
MSTRG.2328.1	779
MSTRG.2217.1	303
MSTRG.2081.1	214
MSTRG.2009.3	445
MSTRG.2053.2	1248
MSTRG.1989.2	223
MSTRG.2148.1	947
MSTRG.2186.1	1048
MSTRG.2155.1	1309
MSTRG.2328.3	223
MSTRG.2053.1	1135
MSTRG.2271.1	604
MSTRG.2201.1	574
MSTRG.2008.1	998
MSTRG.2029.1	242
MSTRG.2053.4	446
MSTRG.2219.2	2154
MSTRG.2168.2	1282
MSTRG.2387.1	251
MSTRG.2156.1	308
MSTRG.2405.1	507
MSTRG.2402.1	495
MSTRG.2105.1	208
MSTRG.2219.3	2271
MSTRG.2235.1	542
MSTRG.2304.1	219
MSTRG.1976.1	235
MSTRG.2005.2	503
MSTRG.2192.1	535
MSTRG.2067.1	1107
MSTRG.2219.5	1388
MSTRG.2335.1	426
MSTRG.2219.1	3688
MSTRG.2020.1	869
MSTRG.2066.2	549
MSTRG.2534.1	2038
MSTRG.2434.3	1369
MSTRG.2526.1	329
MSTRG.2576.1	469
MSTRG.2442.1	566
MSTRG.2558.1	254
MSTRG.2434.2	1378
MSTRG.2427.1	518
MSTRG.2600.1	1274
MSTRG.2555.1	513
MSTRG.2506.1	420
MSTRG.2433.1	318
MSTRG.2426.2	1515
MSTRG.2600.2	627
MSTRG.2503.1	233
MSTRG.2534.2	565
MSTRG.2433.2	282
MSTRG.2563.1	272
MSTRG.2641.11	552
MSTRG.2647.1	509
MSTRG.2668.1	538
MSTRG.2631.1	689
MSTRG.2641.2	431
MSTRG.2637.1	294
MSTRG.2657.4	537
MSTRG.2641.7	270
MSTRG.2647.2	254
MSTRG.2677.1	399
MSTRG.2682.1	1290
MSTRG.2949.1	230
MSTRG.2835.1	364
MSTRG.2950.1	811
MSTRG.2791.1	1344
MSTRG.2757.1	205
MSTRG.2940.6	1109
MSTRG.2845.2	205
MSTRG.2768.1	619
MSTRG.2948.1	200
MSTRG.2756.1	259
MSTRG.2845.1	247
MSTRG.2792.1	287
MSTRG.2831.1	264
MSTRG.2837.1	659
MSTRG.2944.1	660
MSTRG.2882.1	849
MSTRG.2761.1	363
MSTRG.2878.3	613
MSTRG.2817.1	276
MSTRG.2862.1	475
MSTRG.2815.1	278
MSTRG.2851.1	421
MSTRG.2856.1	364
MSTRG.2791.3	464
MSTRG.2948.2	498
MSTRG.2791.2	1306
MSTRG.2923.1	577
MSTRG.2831.2	407
MSTRG.2826.1	803
MSTRG.2882.3	716
MSTRG.2887.1	428
MSTRG.3504.3	617
MSTRG.3532.1	1922
MSTRG.2988.1	451
MSTRG.3044.1	334
MSTRG.3217.2	743
MSTRG.3508.2	679
MSTRG.3268.10	286
MSTRG.3375.1	572
MSTRG.3506.1	237
MSTRG.3504.1	574
MSTRG.3346.3	574
MSTRG.3309.1	676
MSTRG.3467.3	343
MSTRG.3245.8	1201
MSTRG.3350.1	200
MSTRG.3142.1	217
MSTRG.3482.1	279
MSTRG.3467.2	1111
MSTRG.3377.1	455
MSTRG.3228.1	277
MSTRG.3042.1	1402
MSTRG.3130.1	497
MSTRG.3470.1	378
MSTRG.3372.1	309
MSTRG.3245.9	829
MSTRG.3464.1	363
MSTRG.3172.1	1565
MSTRG.3270.1	395
MSTRG.2969.2	480
MSTRG.3354.1	469
MSTRG.3504.2	493
MSTRG.3508.1	679
MSTRG.3135.2	809
MSTRG.3504.4	274
MSTRG.3012.1	439
MSTRG.3360.1	668
MSTRG.3158.1	472
MSTRG.3472.1	305
MSTRG.2992.1	1519
MSTRG.3068.1	348
MSTRG.3267.3	215
MSTRG.3311.1	403
MSTRG.3274.1	473
MSTRG.3467.1	334
MSTRG.3351.1	310
MSTRG.3420.1	216
MSTRG.3343.1	639
MSTRG.3237.1	272
MSTRG.2969.1	496
MSTRG.3256.1	688
MSTRG.3371.1	358
MSTRG.3478.1	708
MSTRG.3497.1	211
MSTRG.3532.2	1922
MSTRG.3877.1	513
MSTRG.4091.3	871
MSTRG.3801.1	582
MSTRG.3792.2	1075
MSTRG.3666.1	228
MSTRG.3820.2	1579
MSTRG.3738.1	576
MSTRG.3786.1	380
MSTRG.3798.2	201
MSTRG.3583.2	830
MSTRG.3665.7	776
MSTRG.3672.1	859
MSTRG.4112.1	244
MSTRG.3683.1	425
MSTRG.3740.2	662
MSTRG.4094.5	212
MSTRG.3799.1	204
MSTRG.3896.4	555
MSTRG.3612.1	342
MSTRG.3929.1	491
MSTRG.4016.1	444
MSTRG.3820.5	1802
MSTRG.3820.4	969
MSTRG.3902.1	346
MSTRG.3567.2	953
MSTRG.4080.1	228
MSTRG.3674.1	271
MSTRG.3820.7	1101
MSTRG.3583.1	617
MSTRG.3774.1	918
MSTRG.3669.1	200
MSTRG.3903.2	1355
MSTRG.3792.1	899
MSTRG.3564.1	956
MSTRG.3820.13	1118
MSTRG.3820.16	1497
MSTRG.3776.1	1339
MSTRG.4091.2	1102
MSTRG.3896.3	590
MSTRG.4091.1	1568
MSTRG.3583.3	866
MSTRG.3884.1	259
MSTRG.3544.1	674
MSTRG.4010.1	741
MSTRG.4076.1	538
MSTRG.3820.10	1455
MSTRG.4082.1	386
MSTRG.3934.1	266
MSTRG.3618.1	818
MSTRG.3706.1	517
MSTRG.3798.1	201
MSTRG.3638.6	1761
MSTRG.3772.1	888
MSTRG.3667.1	267
MSTRG.4036.1	423
MSTRG.3820.3	1864
MSTRG.4097.1	203
MSTRG.3820.12	1058
MSTRG.3908.1	454
MSTRG.3820.1	1435
MSTRG.3886.1	590
MSTRG.3662.13	388
MSTRG.3662.21	357
MSTRG.3644.1	239
MSTRG.3740.3	1141
MSTRG.3573.1	320
MSTRG.3820.14	1073
MSTRG.3916.1	696
MSTRG.3822.1	692
MSTRG.4012.1	409
MSTRG.3740.4	818
MSTRG.3889.1	211
MSTRG.3772.2	888
MSTRG.3922.1	283
MSTRG.3635.1	267
MSTRG.3620.1	582
MSTRG.3702.1	1077
MSTRG.3820.17	993
MSTRG.3672.2	262
MSTRG.3901.1	402
MSTRG.4096.1	296
MSTRG.3662.25	551
MSTRG.3820.9	1597
MSTRG.3993.1	247
MSTRG.3820.15	585
MSTRG.3632.1	450
MSTRG.4055.1	357
MSTRG.3618.2	640
MSTRG.3833.1	1355
MSTRG.3601.1	848
MSTRG.3901.2	308
MSTRG.3686.2	533
MSTRG.3820.8	1654
MSTRG.3781.1	489
MSTRG.3662.11	706
MSTRG.4091.4	680
MSTRG.4041.1	243
MSTRG.4589.3	480
MSTRG.4493.2	243
MSTRG.4344.7	742
MSTRG.4273.1	236
MSTRG.4132.1	629
MSTRG.4344.8	550
MSTRG.4132.3	584
MSTRG.4195.13	1428
MSTRG.4195.14	1707
MSTRG.4261.1	655
MSTRG.4551.1	1451
MSTRG.4392.3	353
MSTRG.4132.2	889
MSTRG.4255.2	391
MSTRG.4473.1	205
MSTRG.4392.2	997
MSTRG.4189.1	509
MSTRG.4551.3	241
MSTRG.4322.1	794
MSTRG.4190.1	393
MSTRG.4195.10	1234
MSTRG.4344.10	798
MSTRG.4344.9	225
MSTRG.4544.1	664
MSTRG.4344.1	896
MSTRG.4195.5	1803
MSTRG.4177.11	470
MSTRG.4154.1	378
MSTRG.4181.1	489
MSTRG.4344.5	630
MSTRG.4486.1	2349
MSTRG.4555.1	201
MSTRG.4490.3	643
MSTRG.4477.1	382
MSTRG.4502.1	636
MSTRG.4178.1	263
MSTRG.4551.2	504
MSTRG.4195.7	1736
MSTRG.4434.1	458
MSTRG.4345.1	534
MSTRG.4347.1	385
MSTRG.4344.6	366
MSTRG.4343.2	325
MSTRG.4558.1	791
MSTRG.4607.1	427
MSTRG.4590.1	844
MSTRG.4195.1	1880
MSTRG.4247.2	753
MSTRG.4195.12	1599
MSTRG.4247.1	399
MSTRG.4179.2	269
MSTRG.4195.2	1733
MSTRG.4164.1	386
MSTRG.4140.1	232
MSTRG.4401.2	615
MSTRG.4157.6	441
MSTRG.4195.4	2027
MSTRG.4157.7	1589
MSTRG.4195.3	1880
MSTRG.4195.8	1397
MSTRG.4343.1	810
MSTRG.4136.1	205
MSTRG.4520.1	492
MSTRG.4590.2	597
MSTRG.4509.1	405
MSTRG.4490.2	1693
MSTRG.4344.2	598
MSTRG.4195.9	1689
MSTRG.4195.6	1883
MSTRG.4421.1	296
MSTRG.4344.4	632
MSTRG.4255.1	469
MSTRG.4247.3	352
MSTRG.4235.1	1058
MSTRG.4522.2	707
MSTRG.4517.1	440
MSTRG.4522.1	756
MSTRG.4563.1	416
MSTRG.4600.1	358
MSTRG.4214.1	200
MSTRG.4387.1	230
MSTRG.4301.1	1157
MSTRG.4195.11	1518
MSTRG.4811.4	748
MSTRG.4778.5	566
MSTRG.4675.1	210
MSTRG.4814.1	508
MSTRG.4701.1	520
MSTRG.4855.1	735
MSTRG.4796.1	360
MSTRG.4810.4	857
MSTRG.4962.1	333
MSTRG.4857.1	324
MSTRG.4686.2	327
MSTRG.4689.1	483
MSTRG.4883.1	270
MSTRG.4631.1	771
MSTRG.4671.1	843
MSTRG.4876.1	854
MSTRG.4712.1	475
MSTRG.4885.1	545
MSTRG.4939.2	869
MSTRG.4800.1	889
MSTRG.4749.1	1094
MSTRG.4891.1	287
MSTRG.4753.1	274
MSTRG.4706.1	315
MSTRG.4663.1	265
MSTRG.4684.1	260
MSTRG.4718.1	744
MSTRG.4686.1	336
MSTRG.4931.2	538
MSTRG.4910.1	494
MSTRG.4626.2	563
MSTRG.4938.1	1159
MSTRG.4689.2	305
MSTRG.4810.3	864
MSTRG.4664.1	310
MSTRG.4705.1	342
MSTRG.4650.1	1614
MSTRG.4856.1	412
MSTRG.4814.2	402
MSTRG.4688.1	667
MSTRG.4952.1	416
MSTRG.4668.1	265
MSTRG.4750.1	354
MSTRG.4796.2	356
MSTRG.5196.3	804
MSTRG.5167.1	1321
MSTRG.5196.1	1490
MSTRG.5010.24	1633
MSTRG.4986.1	392
MSTRG.5226.1	200
MSTRG.4979.1	756
MSTRG.5056.1	300
MSTRG.5055.1	424
MSTRG.4975.2	1018
MSTRG.5056.2	349
MSTRG.5030.5	374
MSTRG.4975.1	626
MSTRG.5054.1	243
MSTRG.5192.1	742
MSTRG.5196.2	978
MSTRG.5053.1	477
MSTRG.5178.1	946
MSTRG.5076.1	203
MSTRG.5178.2	397
MSTRG.5141.1	416
MSTRG.5232.2	451
MSTRG.5232.1	455
MSTRG.4975.3	354
MSTRG.5173.1	342
MSTRG.5003.1	533
MSTRG.5030.2	655
MSTRG.5189.1	1411
MSTRG.4993.1	585
MSTRG.5164.2	574
MSTRG.5216.1	204
MSTRG.4979.3	537
MSTRG.4984.1	343
MSTRG.5010.25	2428
MSTRG.5177.5	545
MSTRG.5201.2	506
MSTRG.5052.1	1066
MSTRG.5693.3	239
MSTRG.5349.2	200
MSTRG.5395.1	716
MSTRG.5693.2	312
MSTRG.5579.1	438
MSTRG.5349.1	254
MSTRG.5551.2	323
MSTRG.5539.1	401
MSTRG.5669.1	508
MSTRG.5642.1	706
MSTRG.5429.1	688
MSTRG.5340.1	264
MSTRG.5425.1	614
MSTRG.5418.3	246
MSTRG.5601.1	1342
MSTRG.5690.1	567
MSTRG.5370.1	520
MSTRG.5637.3	285
MSTRG.5668.1	323
MSTRG.5536.1	1446
MSTRG.5637.2	398
MSTRG.5358.1	387
MSTRG.5472.1	608
MSTRG.5600.1	519
MSTRG.5471.1	252
MSTRG.5663.1	1567
MSTRG.5492.2	442
MSTRG.5568.4	275
MSTRG.5608.1	618
MSTRG.5408.2	631
MSTRG.5491.1	453
MSTRG.5542.2	720
MSTRG.5354.1	609
MSTRG.5560.1	355
MSTRG.5492.1	455
MSTRG.5568.2	396
MSTRG.5363.1	672
MSTRG.5692.2	476
MSTRG.5637.1	499
MSTRG.5568.1	398
MSTRG.5418.2	282
MSTRG.5484.1	204
MSTRG.5383.2	1695
MSTRG.5672.1	359
MSTRG.5433.1	745
MSTRG.5490.1	215
MSTRG.5577.1	296
MSTRG.5343.1	643
MSTRG.5511.1	428
MSTRG.5594.1	300
MSTRG.5331.1	341
MSTRG.5586.1	583
MSTRG.5473.1	252
MSTRG.5472.2	208
MSTRG.5379.1	277
MSTRG.5693.1	312
MSTRG.5491.2	385
MSTRG.5424.1	225
MSTRG.5631.1	549
MSTRG.5525.1	892
MSTRG.5537.1	292
MSTRG.5419.1	219
MSTRG.5527.1	289
MSTRG.5559.3	396
MSTRG.5692.1	296
MSTRG.5345.1	846
MSTRG.5666.1	968
MSTRG.6660.3	416
MSTRG.6406.3	1322
MSTRG.6378.1	1108
MSTRG.6039.1	506
MSTRG.6097.1	454
MSTRG.6660.2	370
MSTRG.5729.7	1224
MSTRG.6177.1	1216
MSTRG.6410.2	416
MSTRG.6348.1	1065
MSTRG.5808.1	691
MSTRG.5757.33	306
MSTRG.6014.1	236
MSTRG.6312.1	558
MSTRG.6501.2	374
MSTRG.6535.1	1903
MSTRG.6336.1	463
MSTRG.5837.1	988
MSTRG.6062.1	298
MSTRG.6229.1	574
MSTRG.6690.1	237
MSTRG.6014.2	236
MSTRG.6501.3	759
MSTRG.6642.1	340
MSTRG.5865.9	229
MSTRG.6369.1	892
MSTRG.6610.2	1366
MSTRG.5777.1	532
MSTRG.6661.1	429
MSTRG.6108.3	639
MSTRG.6355.1	250
MSTRG.6668.1	757
MSTRG.5758.1	1085
MSTRG.6108.4	417
MSTRG.6610.1	1384
MSTRG.6467.1	530
MSTRG.6011.1	209
MSTRG.6515.1	296
MSTRG.6534.1	588
MSTRG.6255.3	6652
MSTRG.6203.2	221
MSTRG.6111.2	1610
MSTRG.6514.1	697
MSTRG.6255.1	6860
MSTRG.5914.1	1090
MSTRG.6161.1	555
MSTRG.6533.1	996
MSTRG.6444.9	1678
MSTRG.5857.1	644
MSTRG.6406.5	1196
MSTRG.5723.1	411
MSTRG.6426.1	224
MSTRG.6422.1	428
MSTRG.6534.2	238
MSTRG.5864.1	245
MSTRG.6109.1	213
MSTRG.6698.2	904
MSTRG.6424.1	370
MSTRG.6196.1	259
MSTRG.6108.2	529
MSTRG.6031.2	616
MSTRG.6096.1	566
MSTRG.6622.1	480
MSTRG.6709.2	397
MSTRG.6219.1	565
MSTRG.6698.3	1007
MSTRG.5966.1	392
MSTRG.6486.5	283
MSTRG.5808.2	627
MSTRG.6406.6	973
MSTRG.6114.2	537
MSTRG.5827.1	741
MSTRG.6269.1	340
MSTRG.5836.3	449
MSTRG.5966.3	304
MSTRG.6223.1	259
MSTRG.6302.1	300
MSTRG.5886.1	527
MSTRG.5879.2	1085
MSTRG.6114.1	557
MSTRG.6425.1	492
MSTRG.6693.1	325
MSTRG.6696.1	312
MSTRG.6351.1	774
MSTRG.5867.1	605
MSTRG.5775.3	468
MSTRG.6508.1	209
MSTRG.5808.3	638
MSTRG.6553.1	965
MSTRG.6555.1	685
MSTRG.6406.4	1197
MSTRG.6694.2	466
MSTRG.6096.2	518
MSTRG.6410.1	599
MSTRG.6521.1	318
MSTRG.6034.1	980
MSTRG.6509.6	341
MSTRG.6350.1	1089
MSTRG.5979.1	547
MSTRG.6505.1	1591
MSTRG.6694.1	659
MSTRG.6164.1	238
MSTRG.6250.2	1303
MSTRG.6255.2	7456
MSTRG.6185.1	220
MSTRG.6347.1	981
MSTRG.6089.1	510
MSTRG.6113.1	236
MSTRG.6483.1	344
MSTRG.6584.1	318
MSTRG.6247.1	626
MSTRG.6401.1	278
MSTRG.6174.3	943
MSTRG.6694.3	393
MSTRG.6330.1	529
MSTRG.6660.1	244
MSTRG.6175.1	658
MSTRG.6406.2	1555
MSTRG.5966.2	1435
MSTRG.6561.1	554
MSTRG.6653.1	511
MSTRG.6014.3	236
MSTRG.6513.1	565
MSTRG.6709.1	550
MSTRG.6682.2	268
MSTRG.5801.1	1441
MSTRG.6721.1	287
MSTRG.5808.4	644
MSTRG.6537.3	416
MSTRG.6065.1	232
MSTRG.6501.1	471
MSTRG.6618.1	298
MSTRG.6406.1	1224
MSTRG.6108.1	530
MSTRG.6912.1	645
MSTRG.6841.1	330
MSTRG.6803.2	822
MSTRG.7167.1	635
MSTRG.6918.1	327
MSTRG.7200.1	290
MSTRG.6854.1	446
MSTRG.6803.3	706
MSTRG.7165.1	265
MSTRG.7214.3	1032
MSTRG.6803.4	877
MSTRG.7210.1	246
MSTRG.6803.5	963
MSTRG.6803.11	306
MSTRG.7041.1	455
MSTRG.6803.10	299
MSTRG.6972.1	233
MSTRG.6791.1	817
MSTRG.6803.9	471
MSTRG.6818.1	465
MSTRG.6898.1	232
MSTRG.7208.1	214
MSTRG.6908.1	229
MSTRG.6949.1	451
MSTRG.6895.1	789
MSTRG.6950.1	633
MSTRG.6916.2	316
MSTRG.6795.1	302
MSTRG.6770.1	202
MSTRG.6803.7	803
MSTRG.7115.1	395
MSTRG.6899.1	1126
MSTRG.6978.1	250
MSTRG.7052.1	916
MSTRG.7228.1	1002
MSTRG.6769.1	582
MSTRG.6916.1	469
MSTRG.7036.1	264
MSTRG.6916.3	355
MSTRG.7070.1	283
MSTRG.6803.8	631
MSTRG.6803.1	824
MSTRG.6803.6	791
MSTRG.6913.1	211
MSTRG.6843.2	705
MSTRG.7125.1	453
MSTRG.6952.1	240
MSTRG.6897.1	221
MSTRG.7113.1	237
MSTRG.6886.1	223
MSTRG.6896.1	523
MSTRG.7191.1	471
MSTRG.7025.1	353
MSTRG.7113.2	306
MSTRG.6860.1	225
MSTRG.7085.1	685
MSTRG.7318.1	780
MSTRG.7563.2	1364
MSTRG.7267.1	265
MSTRG.7327.1	913
MSTRG.7347.2	203
MSTRG.7699.1	436
MSTRG.7276.1	651
MSTRG.7396.1	475
MSTRG.7378.1	1203
MSTRG.7277.1	403
MSTRG.7563.4	502
MSTRG.7563.5	421
MSTRG.7400.6	394
MSTRG.7521.1	1141
MSTRG.7429.1	451
MSTRG.7433.1	738
MSTRG.7400.4	614
MSTRG.7565.1	932
MSTRG.7434.1	712
MSTRG.7563.7	274
MSTRG.7563.6	490
MSTRG.7705.3	297
MSTRG.7481.1	485
MSTRG.7640.3	329
MSTRG.7472.1	555
MSTRG.7381.1	428
MSTRG.7260.1	241
MSTRG.7563.1	738
MSTRG.7477.1	646
MSTRG.7632.1	554
MSTRG.7574.1	307
MSTRG.7691.1	365
MSTRG.7409.1	679
MSTRG.7439.1	804
MSTRG.7339.2	259
MSTRG.7281.1	762
MSTRG.7659.1	308
MSTRG.7581.1	406
MSTRG.7398.1	1920
MSTRG.7485.1	270
MSTRG.7616.1	310
MSTRG.7381.2	385
MSTRG.7621.1	527
MSTRG.7351.1	513
MSTRG.7391.8	1660
MSTRG.7486.1	432
MSTRG.7324.1	747
MSTRG.7361.1	389
MSTRG.7425.1	625
MSTRG.7555.1	237
MSTRG.7515.1	434
MSTRG.7564.1	1084
MSTRG.7587.1	432
MSTRG.7625.1	1405
MSTRG.7614.1	777
MSTRG.7323.1	237
MSTRG.7524.2	265
MSTRG.7689.1	1417
MSTRG.7327.2	833
MSTRG.7407.1	345
MSTRG.7496.1	390
MSTRG.7400.5	569
MSTRG.7276.2	932
MSTRG.7737.1	807
MSTRG.7737.2	760
MSTRG.7730.1	545
MSTRG.8822.1	228
MSTRG.7973.4	231
MSTRG.8670.2	222
MSTRG.8342.1	476
MSTRG.8343.1	348
MSTRG.7910.1	660
MSTRG.8703.1	686
MSTRG.8118.2	960
MSTRG.7842.1	564
MSTRG.8226.1	887
MSTRG.8013.1	204
MSTRG.8282.1	215
MSTRG.8714.1	1123
MSTRG.8169.1	824
MSTRG.8272.1	203
MSTRG.8518.2	1115
MSTRG.8670.1	222
MSTRG.8654.1	526
MSTRG.7786.1	236
MSTRG.8642.1	334
MSTRG.8283.1	527
MSTRG.8656.1	422
MSTRG.8747.1	361
MSTRG.7770.1	203
MSTRG.8768.1	244
MSTRG.8729.1	239
MSTRG.7987.1	514
MSTRG.7807.1	1160
MSTRG.8782.1	305
MSTRG.7771.2	408
MSTRG.8016.1	233
MSTRG.7950.1	220
MSTRG.8529.2	491
